article_id,ngay_dang_tin,nguon,tieu_de,tinh_trang
921,21/07/2025,Sở Giao dịch Chứng khoán Hà Nội,Công ty Cổ phần Chứng khoán OCBS báo cáo sự kiện vi phạm của tổ chức phát hành trái phiếu VTICH2125001,Hiệu lực
901,16/07/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 06/2025,Hiệu lực
881,02/07/2025,Sở Giao dịch Chứng khoán Hà Nội,CTCP Chứng khoán VPBank báo cáo sự kiện vi phạm của tổ chức phát hành trái phiếu HQNCH2124007,Hiệu lực
861,30/06/2025,Sở Giao dịch Chứng khoán Hà Nội,CTCP Chứng khoán VPBank báo cáo về hành vi vi phạm nghĩa vụ dự phòng thanh toán của Tổ chức phát hành trái phiếu HQNCH2124007,Hiệu lực
841,25/06/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu RHGCH2124005 và RHGCH2124006,Hiệu lực
823,10/06/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu PKDSGH2023001,Hiệu lực
822,10/06/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty TNHH Đầu tư Big Gain, Công ty Cổ phần Kinh doanh Nhà Sunshine, Công ty Cổ phần Đâu tư Xây dựng Xuân Đỉnh",Hiệu lực
821,09/06/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 05/2025,Hiệu lực
802,04/06/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế Kỷ",Hiệu lực
801,03/06/2025,Sở Giao dịch Chứng khoán Hà Nội,Công ty cổ phần Chứng khoán VPBank báo cáo vi phạm chéo của Tổ chức phát hành trái phiếu HQNCH2124007,Hiệu lực
782,29/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán SmartMind v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu SHJCH2125002,Hiệu lực
781,28/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu HQNCH2124003 và HQNCH2124004,Hiệu lực
761,21/05/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty Cổ phần Đầu tư Xây dựng Trung Nam",Hiệu lực
