article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,loai_su_kien
22566,02/12/2024,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,DDGH2122002,CẢI CHÍNH CBTT KẾT QUẢ PHÁT HÀNH TRÁI PHIẾU,,Hiệu lực,
22560,29/11/2024,Công ty TNHH Đầu tư Nhà ở xã hội Thuận Thành,TTHCH2328001,CÔNG BỐ THÔNG TIN BẤT THƯỜNG VỀ VIỆC THAY ĐỔI ĐIỀU KIỆN ĐIỀU KHOẢN TRÁI PHIẾU,,Hiệu lực,
22450,21/11/2024,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin khác về việc thực hiện quyền bán lại và nhận lãi mã trái phiếu VKTCH2132001,,Hiệu lực,ban_lai
22422,20/11/2024,CTCP Năng lượng Hòa Thắng,HTECH2133001,Đính chính ngày hoàn thành đợt phát hành trái phiếu HTECH2133001,,Hiệu lực,
21847,10/10/2024,CTCP Đầu tư và Du lịch Vạn Hương,DRGCH2427002,Đính chính công bố thông tin trước Và sau đợt phát hành trái phiếu  DRGCH2427002,,Hiệu lực,
21846,10/10/2024,CTCP Đầu tư và Du lịch Vạn Hương,DRGCH2427001,Đính chính công bố thông tin trước Và sau đợt phát hành trái phiếu  DRGCH2427001,,Hiệu lực,
21483,13/09/2024,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin khác về việc thực hiện quyền bán lại và nhận lãi mã trái phiếu VKTCH2132001,,Hiệu lực,ban_lai
21393,11/09/2024,Công ty Cổ phần Bất động sản BNP Global,BNPCH2123002,Công ty Cổ phần Bất động sản BNP Global CBTT bất thường - về việc: Cập nhật tình hình thanh toán lãi sau khi đáo hạn do chậm trả cho trái phiếu mã BNPCH2123002,,Hiệu lực,
20102,16/08/2024,CTCP Đường Man,DMBOND2017,"CTCP Đường Man công bố thông tin bất thường về việc chậm thanh toán gốc, lãi trái phiếu bán niên năm 2024 (Kỳ báo cáo từ 01/01/2024 đến 30/06/2024)",,Hiệu lực,
19070,28/05/2024,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin khác về việc thực hiện quyền bán lại và nhận lãi mã trái phiếu VKTCH2132001,,Hiệu lực,ban_lai
18844,14/05/2024,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin điều chỉnh số thứ tự kỳ thanh toán lãi mã trái phiếu VKTCH2132001 đã công bố,,Hiệu lực,
18678,09/05/2024,CTCP Đường Man,DMBOND2017,"CTCP Đường Man công bố thông tin bất thường về việc chậm thanh toán gốc, lãi trái phiếu bán niên năm 2022 (Kỳ báo cáo từ 01/01/2022 đến 30/06/2022)",,Hiệu lực,
18539,04/05/2024,Ngân hàng TMCP Quốc tế Việt Nam,,Công bố thông tin kết quả Xếp hạng tín nhiệm,,Hiệu lực,
18462,25/04/2024,Công ty TNHH MTV BOT tỉnh Ninh Thuận,BNTCH2433001,Thông báo thay đổi thông tin trái phiếu riêng lẻ đăng ký giao dịch,,Hiệu lực,
18333,22/04/2024,Công ty Cổ phần Apec Land Huế,HBond_2019.01.50,"Công Bố thông tin định kỳ về tình hình thanh toán gốc,lãi năm 2023",,Hiệu lực,
18104,10/04/2024,Công ty Cổ phần ADEC,ADECH2123001,"Công bố thông tin bất thường về việc thanh toán gốc, lãi Trái phiếu đến hạn thanh toán",,Hiệu lực,
17468,09/04/2024,CTCP Đường Man,DMBOND2017,"Công ty CP Đường Man - Công bố thông tin bất thường về việc chậm thanh toán gốc, lãi trái phiếu năm 2023",,Hiệu lực,
18003,09/04/2024,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2123009,"Công bố thông tin về việc thanh toán gốc, lãi trái phiếu mã NVLH2123009 bằng tài sản khác",,Hiệu lực,
17006,05/04/2024,Công ty Cổ phần BVB,BVBCH2123001,BVB Công bố thông tin mua lại Trái Phiếu BVBCH2123001 ngày 25/03/2024,,Hiệu lực,mua_lai
17059,27/03/2024,CTCP ĐẦU TƯ XÂY DỰNG XUÂN ĐỈNH,"XDCCH2125002,XDCCH2126003,XDCCH2124001",CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG XUÂN ĐỈNH - V/v: Công bố thông tin về việc điều chỉnh Hợp Đồng Được Thế Chấp,,Hiệu lực,
16729,20/03/2024,CÔNG TY CỔ PHẦN DAMSAN,ADSH2224001,Thông báo về việc bị chậm chuyển đổi Trái phiếu thành cổ phiếu,,Hiệu lực,
16625,19/03/2024,CÔNG TY TNHH ĐÀU TƯ VÀ KINH DOANH BẤT ĐỘNG SẢN THỦ THIÊM,TIBCH2124001,"CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH BẤT ĐỘNG SẢN THỦ THIÊM - Công bố thông tin bất thường về việc chậm thanh toán gốc, lãi trái phiếu –  Mã: TIBCH2124001",,Hiệu lực,
16600,12/03/2024,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin khác về việc thực hiện quyền thanh toán lãi mã trái phiếu VKTCH2132001,,Hiệu lực,
16266,21/02/2024,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin bất thường về việc thực hiện quyền bán lại mã trái phiếu VKTCH2132001,,Hiệu lực,ban_lai
15847,11/01/2024,Công ty cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSHH2224003,Báo cáo tình hình thanh toán lãi trái phiếu PSHH2224003 tuần từ 03/01/2024 đến 11/01/2024,,Hiệu lực,
