article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,file_id,loai_su_kien
22674,11/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.19,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22674.0,gia_han
22673,11/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.18,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22673.0,gia_han
22672,11/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.17,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22672.0,gia_han
22678,11/12/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.12.2019.11,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22678.0,gia_han
22677,11/12/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.12.2019.12,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22677.0,gia_han
22676,11/12/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.12.2019.16,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22676.0,gia_han
22662,11/12/2024,CÔNG TY TNHH NAM RẠCH CHIẾC,"NRCCH2226001,NRCCH2125001",CÔNG TY TNHH NAM RẠCH CHIẾC CBTT bất thường - về việc: công bố thông tin quyết định xử phạt vi phạm hành chính,,Hiệu lực,22662.0,
22590,10/12/2024,CTCP ĐẦU TƯ VIỆT TÂM,VTICH2125001,CTCP ĐẦU TƯ VIỆT TÂM CBTT bất thường - về việc:CBTT bất thường về việc vi phạm Hợp đồng Quản lý Tài sản Trái phiếu VTICH2125001,,Hiệu lực,22590.0,
22654,10/12/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.12.2019.10,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22654.0,gia_han
22653,09/12/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.12.2019.08,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22653.0,gia_han
22652,09/12/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.12.2019.06,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22652.0,gia_han
22651,09/12/2024,CÔNG TY CỔ PHẦN XI MĂNG CÔNG THANH,"XMCT1210_1500,XMCT0510_5,XMCT0510_8,XMCT1209",CÔNG TY CỔ PHẦN XI MĂNG CÔNG THANH CBTT bất thường - về việc: Xử phạt vi phạm hành chính,,Hiệu lực,22651.0,
22650,09/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.16,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22650.0,gia_han
22636,06/12/2024,CTCP XỬ LÝ RÁC THẢI VÀ NĂNG LƯỢNG EU,"EUBOND2019,EUBOND_2020",CTCP XỬ LÝ RÁC THẢI VÀ NĂNG LƯỢNG EU CBTT bất thường - về việc: nhận quyết định xử phạt vi phạm hành chính,,Hiệu lực,22636.0,
22645,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.15,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22645.0,gia_han
22626,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-004,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTL-H2023-004,,Hiệu lực,22626.0,
22627,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-005,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTL-H2023-005,,Hiệu lực,22627.0,
22628,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-006,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTL-H2023-006,,Hiệu lực,22628.0,
22629,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-007,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTL-H2023-007,,Hiệu lực,22629.0,
22630,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-008,CTCP Hưng Thịnh Land CBTT bất thường - về việc:Thanh toán gốc trái phiếu HTL-H2023-008,,Hiệu lực,22630.0,
22631,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-009,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTL-H2023-009,,Hiệu lực,22631.0,
22632,06/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-010,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTL-H2023-010,,Hiệu lực,22632.0,
22633,06/12/2024,CTCP Hưng Thịnh Land,HTLAND.2020.TV01,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu HTLAND.2020.TV01,,Hiệu lực,22633.0,
