code,name,shortName,organCode,floor,comTypeCode,isBank,icb1_code,icb1_name,icb2_code,icb2_name,icb3_code,icb3_name,icb4_code,icb4_name
NS2,Công ty Cổ phần Nước sạch số 2 Hà Nội,Nước sạch số 2 Hà Nội,NS2,OTC,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
HLR,Công ty Cổ phần Đường sắt Hà Lạng,Đường sắt Hà Lạng,HLR,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2775,Đường sắt
SZE,Công ty Cổ phần Môi trường Sonadezi,Môi trường Sonadezi,SZE,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2790,Tư vấn & Hỗ trợ Kinh doanh,2799,Chất thải & Môi trường
HNT,Công ty Cổ phần Xe điện Hà Nội,Xe điện Hà Nội,HNT,OTC,CT,False,5000,Dịch vụ Tiêu dùng,5700,Du lịch và Giải trí,5750,Du lịch & Giải trí,5759,Vận tải hành khách & Du lịch
DSV,Công ty Cổ phần Đường sắt Vĩnh Phú,Đường sắt Vĩnh Phú,DSV,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2775,Đường sắt
PSN,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,PTSC Thanh Hóa,PTSCTH,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Vật tư nông nghiệp Đồng Nai,DOCAM,UPCOM,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
MES,Công ty Cổ phần Cơ điện Công trình,Cơ điện Công trình,MESCVN,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
NQT,Công ty Cổ phần Nước sạch Quảng Trị,Nước sạch Quảng Trị,NQT,OTC,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
HTW,Công ty Cổ phần Cấp nước Hà Tĩnh,Cấp nước Hà Tĩnh,HAWASU,OTC,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
TVT,Tổng Công ty Việt Thắng - CTCP,May Việt Thắng,VICOTEX,HOSE,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3760,Hàng cá nhân,3763,Hàng May mặc
NVP,Công ty Cổ phần Nước sạch Vĩnh Phúc,Nước sạch Vĩnh Phúc,VPWATER,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
IST,Công ty Cổ phần ICD Tân Cảng Sóng Thần,ICD Tân Cảng Sóng Thần,IST,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
HHN,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,Vận tải và DV Hàng hóa Hà Nội,HHN,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
ART,Công ty Cổ phần Chứng khoán ARTEX,Chứng khoán ARTEX,FLCS,UPCOM,CK,False,8000,Tài chính,8700,Dịch vụ tài chính,8770,Dịch vụ tài chính,8777,Môi giới chứng khoán
